"","X","id","fsecurity","hhsize","female","kids","elderly","black","hispanic","education","employed","married","disability"
"332",332,20190902396300,0,4,2,2,0,0,0,2,2,2,0
"333",333,20190902396700,NA,2,1,0,0,0,0,1,0,2,1
"334",334,20190902398600,0,2,1,0,0,0,0,1,1,2,0
"335",335,20190902398900,0,2,1,0,2,0,0,2,0,2,1
"336",336,20190902399400,0,2,1,0,2,0,0,2,0,2,1
"337",337,20190902400200,0,2,2,1,0,0,0,1,1,0,0
"338",338,20190902401400,0,2,1,0,0,0,0,0,2,2,0
"339",339,20190902403300,0,3,1,0,2,0,0,0,1,2,0
"340",340,20190902403900,0,1,1,0,0,0,0,1,1,0,0
"341",341,20190902408600,NA,1,0,0,0,0,0,3,0,0,0
"342",342,20191002346200,NA,2,1,0,0,2,0,2,2,2,0
"343",343,20191002348300,0,2,1,0,0,0,0,0,2,2,0
"344",344,20191002351000,3,1,1,0,0,0,0,0,0,0,1
"345",345,20191002351300,0,1,1,0,0,0,0,1,1,0,0
"346",346,20191002352300,4,1,1,0,0,0,0,1,0,0,0
"347",347,20191002352700,0,1,0,0,0,0,0,1,1,0,0
"348",348,20191002352900,0,1,0,0,0,0,0,0,1,0,0
"349",349,20191002353200,0,3,2,1,1,0,0,0,1,2,0
"350",350,20191002353300,0,2,1,0,0,0,0,2,2,0,0
"351",351,20191002354400,0,1,0,0,0,0,0,1,1,0,0
"352",352,20191002354500,0,4,1,3,0,0,0,0,1,0,0
"353",353,20191002354700,0,4,2,2,0,0,0,2,2,2,0
"354",354,20191002354900,0,2,1,0,2,0,0,1,1,2,0
"355",355,20191002355200,0,7,3,2,2,0,0,1,1,2,1
"356",356,20191002357400,0,5,2,3,0,4,0,0,2,0,0
"357",357,20191002358100,NA,2,1,0,0,0,0,2,2,0,0
"358",358,20191002358200,NA,4,4,3,0,0,3,1,1,0,0
"359",359,20191002359200,0,2,1,0,2,0,0,1,0,2,0
"360",360,20191002359500,0,1,0,0,1,0,0,1,0,0,1
"361",361,20191002360300,0,1,0,0,1,0,0,1,0,0,0
"362",362,20191002361000,0,2,1,0,0,0,0,2,2,2,0
"363",363,20191002362400,0,2,1,0,2,0,0,0,2,2,0
"364",364,20191002364200,NA,1.66666666666667,1,0,2,0,0,0,3,2,0
"365",365,20191002364300,0,6,4,4,0,0,0,2,1,2,0
"366",366,20191002364600,0,2,1,0,0,0,0,2,2,2,0
"367",367,20191002365200,0,3,2,1,0,0,0,1,3,2,1
"368",368,20191002368500,NA,2,1,1,0,0,0,1,1,0,1
"369",369,20191002368900,0,3,2,1,0,0,0,2,2,0,0
"370",370,20191002369300,0,2,1,0,2,0,0,0,2,2,0
"371",371,20191002370100,0,1,0,0,0,0,0,0,1,0,0
"372",372,20191002372100,1,1,0,0,0,0,0,0,1,0,1
"373",373,20191002373700,NA,1,0,0,0,0,1,0,1,0,0
"374",374,20191002373900,0,1,1,0,1,0,0,0,0,0,0
"375",375,20191002374000,0,1,1,0,1,0,0,1,0,0,0
"376",376,20191002374500,0,2,1,0,2,0,0,1,0,2,0
"377",377,20191002374600,0,1,1,0,0,0,0,1,1,0,0
"378",378,20191002374800,NA,2,1,0,0,0,0,1,2,2,0
"379",379,20191002376700,0,1,0,0,1,0,0,0,0,0,0
"380",380,20191002377600,NA,2,1,0,0,0,0,2,2,2,0
"381",381,20191002377900,NA,1,0,0,0,0,1,0,1,0,0
"382",382,20191002378500,0,2,1,0,2,0,0,2,2,2,0
"383",383,20191002379900,0,4,2,2,0,0,0,0,2,2,0
"384",384,20191002381800,0,3,2,1,0,0,0,2,2,2,0
"385",385,20191002383600,0,1,0,0,0,0,0,0,1,0,0
"386",386,20191002383700,0,1,1,0,1,0,0,1,0,0,1
"387",387,20191002383800,0,1,1,0,1,0,0,0,0,0,0
"388",388,20191002384300,0,2,1,0,0,0,0,1,2,2,0
"389",389,20191002384700,0,1,0,0,1,0,0,1,0,0,1
"390",390,20191002384800,0,2,1,0,0,0,0,2,2,2,0
"391",391,20191002385000,0,1,0,0,1,0,0,0,0,0,1
"392",392,20191002386500,0,8,3,6,0,0,0,0,3,2,0
"393",393,20191002387800,NA,2,1,0,0,0,0,0,1,2,0
"394",394,20191002388500,NA,1,0,0,0,0,0,0,0,0,1
"395",395,20191002388700,NA,5,2,3,0,0,0,2,2,2,0
"396",396,20191002390300,6,2,2,0,0,0,0,0,0,0,1
"397",397,20191002390700,NA,2,1,0,0,0,0,0,2,0,0
"398",398,20191002391200,0,1,1,0,0,0,1,1,1,0,0
"399",399,20191002391300,0,1,1,0,1,0,0,1,0,0,0
"400",400,20191002391500,NA,1,0,0,0,0,0,1,1,0,0
"401",401,20191002392200,0,2,0,0,1,0,0,0,1,0,0
"402",402,20191002394200,0,4,3,1,0,0,0,1,3,2,0
"403",403,20191002394600,NA,2,1,0,2,0,0,2,0,2,1
"404",404,20191002395500,0,1,1,0,1,0,0,1,1,0,0
"405",405,20191002396400,1,2,1,0,0,0,0,1,1,2,0
"406",406,20191002396800,0,1,1,0,1,0,0,1,1,0,0
"407",407,20191002398400,NA,1,1,0,0,0,0,0,2,0,0
"408",408,20191002400400,0,2,1,0,0,0,1,2,2,2,0
"409",409,20191002402800,0,2,1,0,2,0,0,2,0,2,0
"410",410,20191002403300,0,2,1,0,2,0,0,1,1,2,1
"411",411,20191002404200,NA,1,0,0,0,0,0,1,0,0,0
"412",412,20191002404600,0,2,2,1,0,0,0,1,1,0,0
"413",413,20191002405700,0,1,0,0,0,0,0,1,1,0,0
"414",414,20191002406400,4,1,0,0,0,0,0,0,1,0,0
"415",415,20191002409100,0,6,4,3,0,0,0,1,2,2,0
"416",416,20191002409800,9,7,4,2,1,7,0,1,4,0,0
"417",417,20191002410100,0,3,2,0,0,0,0,1,3,2,0
"418",418,20191002410200,0,2,1,0,0,0,0,1,0,0,0
"419",419,20191002410600,0,2,1,0,2,0,0,0,0,2,1
"420",420,20191002411400,0,3,2,1,0,0,0,2,1,2,0
"421",421,20191002412000,0,3,2,0,0,0,0,2,3,2,0
"422",422,20191002412800,NA,2,1,0,2,0,0,2,0,2,1
"423",423,20191002414800,NA,2,1,0,0,0,0,1,2,2,0
"424",424,20191002415000,0,1,1,0,0,0,0,1,1,0,0
"425",425,20191002415500,0,4,3,2,0,0,0,2,2,2,0
"426",426,20191102346500,0,1,1,0,0,0,0,0,1,0,0
"427",427,20191102346600,0,1,0,0,1,0,0,0,0,0,1
"428",428,20191102347900,0,1,0,0,0,0,0,1,1,0,0
